N of iter	 p = 250007 N of neg_f and N of total_f	
1	0	44579
2	0	44674
3	0	44643
4	0	44640
5	0	44638
6	0	44681
7	0	44630
8	0	44817
9	0	44809
10	0	44725
11	0	44731
12	0	44771
13	0	44605
14	0	44681
15	0	44821
16	0	44729
17	0	44793
18	0	44728
19	0	44696
20	0	44731
21	0	44680
22	0	44718
23	0	44605
24	0	44706
25	0	44679
26	0	44709
27	0	44585
28	0	44742
29	0	44773
30	0	44698
31	0	44667
32	0	44870
33	0	44704
34	0	44635
35	0	44656
36	0	44714
37	0	44784
38	0	44799
39	0	44750
40	0	44703
41	0	44757
42	0	44704
43	0	44721
44	0	44781
45	0	44655
46	0	44668
47	0	44824
48	0	44628
49	0	44645
50	0	44660
51	0	44795
52	0	44663
53	0	44706
54	0	44693
55	0	44711
56	0	44908
57	0	44870
58	0	44913
59	0	44779
60	0	44724
61	0	44841
62	0	44671
63	0	44648
64	0	44762
65	0	44765
66	0	44536
67	0	44627
68	0	44745
69	0	44720
70	0	44711
71	0	44718
72	0	44821
73	0	44611
74	0	44708
75	0	44759
76	0	44811
77	0	44795
78	0	44730
79	0	44650
80	0	44733
81	0	44755
82	0	44616
83	0	44680
84	0	44832
85	0	44634
86	0	44674
87	0	44723
88	0	44670
89	0	44637
90	0	44820
91	0	44680
92	0	44820
93	0	44799
94	0	44745
95	0	44707
96	0	44630
97	0	44642
98	0	44672
99	0	44722
100	0	44709
101	0	44880
102	0	44725
103	0	44708
104	0	44722
105	0	44871
106	0	44655
107	0	44715
108	0	44709
109	0	44740
110	0	44786
111	0	44774
112	0	44691
113	0	44661
114	0	44691
115	0	44748
116	0	44611
117	0	44703
118	0	44691
119	0	44670
120	0	44860
121	0	44773
122	0	44808
123	0	44758
124	0	44595
125	0	44818
126	0	44693
127	0	44585
128	0	44692
129	0	44694
130	0	44578
131	0	44617
132	0	44715
133	0	44840
134	0	44764
135	0	44737
136	0	44849
137	0	44800
138	0	44723
139	0	44791
140	0	44757
141	0	44829
142	0	44757
143	0	44603
144	0	44706
145	0	44730
146	0	44663
147	0	44695
148	0	44754
149	0	44695
150	0	44651
151	0	44832
152	0	44808
153	0	44751
154	0	44706
155	0	44736
156	0	44704
157	0	44744
158	0	44667
159	0	44718
160	0	44640
161	0	44723
162	0	44760
163	0	44844
164	0	44833
165	0	44839
166	0	44711
167	0	44729
168	0	44586
169	0	44721
170	0	44579
171	0	44566
172	0	44745
173	0	44682
174	0	44599
175	0	44635
176	0	44797
177	0	44692
178	0	44813
179	0	44645
180	0	44686
181	0	44710
182	0	44701
183	0	44757
184	0	44844
185	0	44843
186	0	44637
187	0	44559
188	0	44832
189	0	44685
190	0	44692
191	0	44773
192	0	44694
193	0	44609
194	0	44648
195	0	44775
196	0	44732
197	0	44635
198	0	44788
199	0	44737
200	0	44659
201	0	44684
202	0	44645
203	0	44670
204	0	44580
205	0	44780
206	0	44645
207	0	44824
208	0	44691
209	0	44614
210	0	44700
211	0	44758
212	0	44689
213	0	44665
214	0	44709
215	0	44693
216	0	44616
217	0	44686
218	0	44716
219	0	44785
220	0	44703
221	0	44760
222	0	44753
223	0	44696
224	0	44823
225	0	44708
226	0	44662
227	0	44700
228	0	44798
229	0	44619
230	0	44684
231	0	44664
232	0	44711
233	0	44744
234	0	44658
235	0	44598
236	0	44774
237	0	44745
238	0	44701
239	0	44702
240	0	44749
241	0	44605
242	0	44748
243	0	44815
244	0	44753
245	0	44731
246	0	44758
247	0	44809
248	0	44714
249	0	44621
250	0	44666
251	0	44748
252	0	44815
253	0	44791
254	0	44695
255	0	44670
256	0	44606
257	0	44652
258	0	44552
259	0	44750
260	0	44915
261	0	44785
262	0	44781
263	0	44681
264	0	44788
265	0	44711
266	0	44851
267	0	44512
268	0	44757
269	0	44794
270	0	44695
271	0	44663
272	0	44791
273	0	44813
274	0	44674
275	0	44720
276	0	44674
277	0	44763
278	0	44574
279	0	44696
280	0	44612
281	0	44653
282	0	44860
283	0	44736
284	0	44587
285	0	44742
286	0	44648
287	0	44673
288	0	44577
289	0	44739
290	0	44521
291	0	44733
292	0	44758
293	0	44782
294	0	44852
295	0	44580
296	0	44839
297	0	44886
298	0	44671
299	0	44692
300	0	44657
301	0	44738
302	0	44824
303	0	44721
304	0	44806
305	0	44655
306	0	44761
307	0	44697
308	0	44763
309	0	44634
310	0	44746
311	0	44730
312	0	44696
313	0	44742
314	0	44866
315	0	44774
316	0	44646
317	0	44677
318	0	44714
319	0	44772
320	0	44638
321	0	44765
322	0	44646
323	0	44693
324	0	44884
325	0	44754
326	0	44651
327	0	44613
328	0	44699
329	0	44722
330	0	44707
331	0	44667
332	0	44690
333	0	44724
334	0	44915
335	0	44832
336	0	44752
337	0	44622
338	0	44826
339	0	44647
340	0	44690
341	0	44687
342	0	44829
343	0	44598
344	0	44705
345	0	44742
346	0	44624
347	0	44761
348	0	44787
349	0	44718
350	0	44664
351	0	44812
352	0	44746
353	0	44784
354	0	44839
355	0	44592
356	0	44738
357	0	44639
358	0	44777
359	0	44692
360	0	44717
361	0	44818
362	0	44621
363	0	44708
364	0	44757
365	0	44673
366	0	44715
367	0	44799
368	0	44733
369	0	44752
370	0	44731
371	0	44734
372	0	44734
373	0	44591
374	0	44757
375	0	44656
376	0	44790
377	0	44862
378	0	44763
379	0	44701
380	0	44725
381	0	44609
382	0	44741
383	0	44644
384	0	44757
385	0	44828
386	0	44678
387	0	44694
388	0	44712
389	0	44715
390	0	44794
391	0	44710
392	0	44769
393	0	44605
394	0	44678
395	0	44821
396	0	44705
397	0	44737
398	0	44768
399	0	44756
400	0	44754
401	0	44690
402	0	44611
403	0	44788
404	0	44651
405	0	44655
406	0	44643
407	0	44786
408	0	44747
409	0	44741
410	0	44766
411	0	44797
412	0	44698
413	0	44889
414	0	44708
415	0	44892
416	0	44720
417	0	44751
418	0	44700
419	0	44728
420	0	44591
421	0	44673
422	0	44728
423	0	44683
424	0	44667
425	0	44713
426	0	44781
427	0	44776
428	0	44776
429	0	44665
430	0	44729
431	0	44703
432	0	44651
433	0	44606
434	0	44801
435	0	44699
436	0	44874
437	0	44615
438	0	44658
439	0	44783
440	0	44794
441	0	44806
442	0	44849
443	0	44602
444	0	44764
445	0	44604
446	0	44831
447	0	44745
448	0	44790
449	0	44692
450	0	44896
451	0	44715
452	0	44764
453	0	44848
454	0	44893
455	0	44589
456	0	44734
457	0	44579
458	0	44770
459	0	44732
460	0	44737
461	0	44784
462	0	44682
463	0	44623
464	0	44603
465	0	44785
466	0	44682
467	0	44723
468	0	44663
469	0	44834
470	0	44684
471	0	44799
472	0	44716
473	0	44755
474	0	44817
475	0	44770
476	0	44663
477	0	44673
478	0	44773
479	0	44708
480	0	44633
481	0	44653
482	0	44746
483	0	44905
484	0	44619
485	0	44700
486	0	44728
487	0	44801
488	0	44728
489	0	44598
490	0	44604
491	0	44861
492	0	44674
493	0	44747
494	0	44743
495	0	44776
496	0	44688
497	0	44650
498	0	44745
499	0	44733
500	0	44692
501	0	44718
502	0	44670
503	0	44793
504	0	44616
505	0	44859
506	0	44708
507	0	44720
508	0	44747
509	0	44694
510	0	44819
511	0	44605
512	0	44720
513	0	44631
514	0	44795
515	0	44777
516	0	44765
517	0	44788
518	0	44597
519	0	44703
520	0	44828
521	0	44697
522	0	44711
523	0	44599
524	0	44698
525	0	44691
526	0	44625
527	0	44673
528	0	44819
529	0	44764
530	0	44615
531	0	44660
532	0	44689
533	0	44959
534	0	44763
535	0	44794
536	0	44775
537	0	44687
538	0	44731
539	0	44650
540	0	44602
541	0	44759
542	0	44674
543	0	44860
544	0	44728
545	0	44884
546	0	44557
547	0	44717
548	0	44655
549	0	44932
550	0	44699
551	0	44747
552	0	44707
553	0	44716
554	0	44863
555	0	44829
556	0	44718
557	0	44767
558	0	44633
559	0	44686
560	0	44738
561	0	44608
562	0	44772
563	0	44725
564	0	44772
565	0	44684
566	0	44754
567	0	44762
568	0	44817
569	0	44643
570	0	44691
571	0	44687
572	0	44772
573	0	44652
574	0	44635
575	0	44822
576	0	44590
577	0	44706
578	0	44771
579	0	44717
580	0	44750
581	0	44686
582	0	44806
583	0	44629
584	0	44759
585	0	44779
586	0	44775
587	0	44684
588	0	44660
589	0	44761
590	0	44580
591	0	44688
592	0	44662
593	0	44639
594	0	44690
595	0	44693
596	0	44651
597	0	44653
598	0	44714
599	0	44700
600	0	44714
601	0	44899
602	0	44604
603	0	44707
604	0	44748
605	0	44761
606	0	44760
607	0	44747
608	0	44722
609	0	44783
610	0	44784
611	0	44593
612	0	44668
613	0	44626
614	0	44773
615	0	44826
616	0	44667
617	0	44843
618	0	44682
619	0	44659
620	0	44713
621	0	44800
622	0	44707
623	0	44723
624	0	44895
625	0	44704
626	0	44772
627	0	44788
628	0	44638
629	0	44737
630	0	44729
631	0	44690
632	0	44652
633	0	44654
634	0	44694
635	0	44819
636	0	44856
637	0	44758
638	0	44721
639	0	44835
640	0	44611
641	0	44743
642	0	44880
643	0	44782
644	0	44687
645	0	44818
646	0	44728
647	0	44747
648	0	44674
649	0	44726
650	0	44721
651	0	44803
652	0	44672
653	0	44710
654	0	44829
655	0	44884
656	0	44644
657	0	44888
658	0	44835
659	0	44663
660	0	44669
661	0	44829
662	0	44698
663	0	44715
664	0	44723
665	0	44705
666	0	44602
667	0	44631
668	0	44652
669	0	44703
670	0	44756
671	0	44745
672	0	44756
673	0	44588
674	0	44772
675	0	44724
676	0	44862
677	0	44727
678	0	44736
679	0	44704
680	0	44586
681	0	44631
682	0	44626
683	0	44678
684	0	44794
685	0	44669
686	0	44723
687	0	44732
688	0	44727
689	0	44635
690	0	44608
691	0	44733
692	0	44649
693	0	44720
694	0	44730
695	0	44694
696	0	44698
697	0	44746
698	0	44749
699	0	44792
700	0	44678
701	0	44763
702	0	44698
703	0	44775
704	0	44823
705	0	44748
706	0	44847
707	0	44644
708	0	44679
709	0	44753
710	0	44816
711	0	44859
712	0	44705
713	0	44682
714	0	44672
715	0	44628
716	0	44894
717	0	44749
718	0	44781
719	0	44710
720	0	44625
721	0	44670
722	0	44634
723	0	44754
724	0	44881
725	0	44792
726	0	44616
727	0	44741
728	0	44864
729	0	44632
730	0	44827
731	0	44688
732	0	44665
733	0	44737
734	0	44703
735	0	44696
736	0	44747
737	0	44866
738	0	44678
739	0	44746
740	0	44698
741	0	44746
742	0	44947
743	0	44638
744	0	44591
745	0	44706
746	0	44666
747	0	44550
748	0	44754
749	0	44655
750	0	44674
751	0	44828
752	0	44784
753	0	44678
754	0	44945
755	0	44719
756	0	44848
757	0	44756
758	0	44711
759	0	44665
760	0	44746
761	0	44774
762	0	44710
763	0	44783
764	0	44862
765	0	44684
766	0	44768
767	0	44719
768	0	44725
769	0	44635
770	0	44665
771	0	44876
772	0	44722
773	0	44671
774	0	44840
775	0	44672
776	0	44765
777	0	44797
778	0	44818
779	0	44778
780	0	44618
781	0	44818
782	0	44613
783	0	44825
784	0	44741
785	0	44627
786	0	44707
787	0	44774
788	0	44574
789	0	44606
790	0	44732
791	0	44735
792	0	44718
793	0	44730
794	0	44702
795	0	44818
796	0	44588
797	0	44670
798	0	44619
799	0	44669
800	0	44706
801	0	44783
802	0	44723
803	0	44700
804	0	44606
805	0	44680
806	0	44721
807	0	44687
808	0	44605
809	0	44703
810	0	44818
811	0	44733
812	0	44707
813	0	44680
814	0	44784
815	0	44637
816	0	44583
817	0	44655
818	0	44752
819	0	44791
820	0	44817
821	0	44686
822	0	44837
823	0	44667
824	0	44799
825	0	44727
826	0	44674
827	0	44704
828	0	44721
829	0	44709
830	0	44680
831	0	44680
832	0	44660
833	0	44747
834	0	44738
835	0	44896
836	0	44738
837	0	44808
838	0	44721
839	0	44780
840	0	44759
841	0	44731
842	0	44668
843	0	44679
844	0	44837
845	0	44753
846	0	44746
847	0	44731
848	0	44757
849	0	44724
850	0	44715
851	0	44693
852	0	44769
853	0	44792
854	0	44788
855	0	44695
856	0	44681
857	0	44674
858	0	44670
859	0	44784
860	0	44646
861	0	44668
862	0	44663
863	0	44732
864	0	44620
865	0	44842
866	0	44822
867	0	44709
868	0	44803
869	0	44732
870	0	44694
871	0	44676
872	0	44653
873	0	44699
874	0	44746
875	0	44658
876	0	44788
877	0	44634
878	0	44638
879	0	44775
880	0	44670
881	0	44718
882	0	44679
883	0	44743
884	0	44701
885	0	44598
886	0	44688
887	0	44764
888	0	44716
889	0	44673
890	0	44664
891	0	44681
892	0	44777
893	0	44858
894	0	44698
895	0	44667
896	0	44789
897	0	44664
898	0	44797
899	0	44756
900	0	44716
901	0	44656
902	0	44632
903	0	44592
904	0	44648
905	0	44565
906	0	44571
907	0	44727
908	0	44632
909	0	44690
910	0	44759
911	0	44715
912	0	44834
913	0	44702
914	0	44758
915	0	44632
916	0	44780
917	0	44780
918	0	44640
919	0	44810
920	0	44831
921	0	44727
922	0	44572
923	0	44719
924	0	44615
925	0	44709
926	0	44609
927	0	44609
928	0	44685
929	0	44694
930	0	44743
931	0	44614
932	0	44690
933	0	44724
934	0	44750
935	0	44633
936	0	44834
937	0	44618
938	0	44663
939	0	44595
940	0	44720
941	0	44558
942	0	44741
943	0	44695
944	0	44604
945	0	44710
946	0	44688
947	0	44668
948	0	44846
949	0	44623
950	0	44686
951	0	44785
952	0	44636
953	0	44648
954	0	44662
955	0	44611
956	0	44629
957	0	44582
958	0	44685
959	0	44617
960	0	44652
961	0	44559
962	0	44680
963	0	44811
964	0	44656
965	0	44659
966	0	44825
967	0	44670
968	0	44786
969	0	44696
970	0	44673
971	0	44678
972	0	44849
973	0	44733
974	0	44836
975	0	44713
976	0	44752
977	0	44644
978	0	44514
979	0	44719
980	0	44826
981	0	44719
982	0	44731
983	0	44761
984	0	44683
985	0	44696
986	0	44639
987	0	44727
988	0	44678
989	0	44797
990	0	44584
991	0	44628
992	0	44595
993	0	44797
994	0	44851
995	0	44794
996	0	44789
997	0	44750
998	0	44651
999	0	44703
1000	0	44785
