# N_v = 30, N_col = 250000
# time	 M_xx	 M_yy	 M_zz
0	4.92327	0.9919	0.9919
0.02	4.89646	1.00511	1.00551
0.04	4.86984	1.01842	1.01881
0.06	4.84362	1.03164	1.03181
0.08	4.81766	1.04464	1.04477
0.1	4.79205	1.05749	1.05753
0.12	4.76656	1.07024	1.07027
0.14	4.74137	1.08271	1.083
0.16	4.71639	1.09503	1.09565
0.18	4.69236	1.10734	1.10737
0.2	4.6684	1.11928	1.1194
0.22	4.64446	1.1311	1.13151
0.24	4.62092	1.14289	1.14326
0.26	4.59729	1.15472	1.15507
0.28	4.57427	1.16634	1.16646
0.3	4.55123	1.17783	1.17802
0.32	4.52843	1.18921	1.18943
0.34	4.50618	1.20037	1.20053
0.36	4.4841	1.21141	1.21156
0.38	4.46223	1.22232	1.22253
0.4	4.44105	1.23315	1.23287
0.42	4.41963	1.24396	1.24348
0.44	4.39856	1.25456	1.25395
0.46	4.37743	1.26513	1.26451
0.48	4.35638	1.27561	1.27509
0.5	4.33579	1.28591	1.28538
0.52	4.31509	1.29618	1.2958
0.54	4.29474	1.30636	1.30598
0.56	4.27488	1.3162	1.31599
0.58	4.25532	1.32585	1.3259
0.6	4.23583	1.33565	1.33559
0.62	4.21615	1.34536	1.34556
0.64	4.1973	1.35478	1.35499
0.66	4.17849	1.36425	1.36433
0.68	4.15959	1.37362	1.37386
0.7	4.14103	1.38299	1.38306
0.72	4.12286	1.39224	1.39197
0.74	4.10455	1.40136	1.40116
0.76	4.08647	1.41044	1.41016
0.78	4.06907	1.4192	1.4188
0.8	4.0513	1.42813	1.42764
0.82	4.03376	1.4368	1.43651
0.84	4.01651	1.44548	1.44508
0.86	3.99937	1.45396	1.45374
0.88	3.98244	1.46238	1.46225
0.9	3.96575	1.47067	1.47065
0.92	3.94902	1.47893	1.47912
0.94	3.93269	1.48723	1.48715
0.96	3.91661	1.49539	1.49508
0.98	3.90055	1.50331	1.5032
1	3.88445	1.51133	1.5113
1.02	3.86883	1.51912	1.51912
1.04	3.85322	1.52682	1.52703
1.06	3.83806	1.53439	1.53463
1.08	3.82278	1.54197	1.54233
1.1	3.80785	1.54944	1.54978
1.12	3.79288	1.55682	1.55738
1.14	3.77804	1.56422	1.56482
1.16	3.7636	1.57146	1.57201
1.18	3.74907	1.57874	1.57926
1.2	3.73472	1.58597	1.58638
1.22	3.7206	1.59295	1.59351
1.24	3.70671	1.5999	1.60046
1.26	3.69291	1.6068	1.60736
1.28	3.67927	1.61368	1.61412
1.3	3.66564	1.62049	1.62094
1.32	3.65206	1.62725	1.62775
1.34	3.63877	1.63391	1.63439
1.36	3.62559	1.64048	1.641
1.38	3.61256	1.64698	1.64753
1.4	3.59974	1.65356	1.65378
1.42	3.58687	1.6599	1.6603
1.44	3.57424	1.66623	1.6666
1.46	3.56185	1.67246	1.67276
1.48	3.54944	1.67858	1.67906
1.5	3.5372	1.68474	1.68513
1.52	3.52504	1.69088	1.69115
1.54	3.51285	1.69693	1.69729
1.56	3.50107	1.7028	1.7032
1.58	3.48924	1.70873	1.70911
1.6	3.47757	1.71459	1.71491
1.62	3.46611	1.72035	1.72061
1.64	3.45468	1.72605	1.72635
1.66	3.44336	1.73174	1.73197
1.68	3.43215	1.73733	1.73759
1.7	3.42119	1.74285	1.74303
1.72	3.41021	1.74831	1.74855
1.74	3.39953	1.75372	1.75383
1.76	3.38888	1.75903	1.75917
1.78	3.37826	1.76429	1.76453
1.8	3.36781	1.76953	1.76974
1.82	3.35742	1.77471	1.77494
1.84	3.34718	1.77979	1.78011
1.86	3.33696	1.78485	1.78526
1.88	3.32676	1.78984	1.79048
1.9	3.31683	1.79478	1.79546
1.92	3.30677	1.79977	1.80053
1.94	3.29699	1.80468	1.8054
1.96	3.28736	1.80952	1.81019
1.98	3.27779	1.81437	1.81491
2	3.26829	1.81913	1.81965
2.02	3.25894	1.8238	1.82433
2.04	3.24966	1.82853	1.82888
2.06	3.24047	1.83314	1.83346
2.08	3.23137	1.83773	1.83797
2.1	3.22221	1.84231	1.84255
2.12	3.21324	1.84683	1.847
2.14	3.20436	1.85127	1.85145
2.16	3.19552	1.85561	1.85594
2.18	3.18689	1.85995	1.86023
2.2	3.17834	1.86421	1.86452
2.22	3.16984	1.86845	1.86878
2.24	3.16138	1.87271	1.87298
2.26	3.15299	1.87687	1.8772
2.28	3.14468	1.88102	1.88138
2.3	3.13655	1.88511	1.88541
2.32	3.12847	1.88912	1.88948
2.34	3.1205	1.89314	1.89343
2.36	3.11257	1.89713	1.89738
2.38	3.10472	1.90109	1.90126
2.4	3.09687	1.90499	1.90521
2.42	3.08919	1.90883	1.90906
2.44	3.08154	1.91268	1.91284
2.46	3.07398	1.91646	1.91664
2.48	3.06656	1.92015	1.92036
2.5	3.05911	1.92386	1.9241
2.52	3.05183	1.92751	1.92773
2.54	3.04459	1.93111	1.93137
2.56	3.03745	1.93468	1.93495
2.58	3.03029	1.93826	1.93852
2.6	3.02324	1.94183	1.94201
2.62	3.01626	1.94533	1.94549
2.64	3.00929	1.94884	1.94894
2.66	3.00241	1.95223	1.95243
2.68	2.99566	1.95566	1.95576
2.7	2.98891	1.95904	1.95913
2.72	2.98222	1.96239	1.96246
2.74	2.97564	1.96569	1.96575
2.76	2.96917	1.96892	1.96899
2.78	2.96271	1.97215	1.97221
2.8	2.95632	1.97536	1.97539
2.82	2.94996	1.97852	1.97859
2.84	2.94375	1.98163	1.9817
2.86	2.93756	1.9847	1.98481
2.88	2.93141	1.9878	1.98787
2.9	2.9253	1.99085	1.99091
2.92	2.91932	1.99384	1.99391
2.94	2.91335	1.99684	1.99689
2.96	2.90743	1.99979	1.99985
2.98	2.90162	2.00273	2.00273
3	2.89582	2.00558	2.00568
3.02	2.89013	2.0084	2.00854
3.04	2.88448	2.01121	2.01138
3.06	2.87887	2.01402	2.01419
3.08	2.87335	2.01678	2.01694
3.1	2.8678	2.01955	2.01973
3.12	2.8624	2.02223	2.02244
3.14	2.85702	2.02493	2.02512
3.16	2.85166	2.02762	2.0278
3.18	2.84633	2.03028	2.03046
3.2	2.84107	2.03292	2.03308
3.22	2.83592	2.03551	2.03564
3.24	2.83084	2.03808	2.03815
3.26	2.82571	2.04067	2.04069
3.28	2.82068	2.04319	2.0432
3.3	2.81568	2.04568	2.04571
3.32	2.81074	2.04815	2.04818
3.34	2.80585	2.05058	2.05064
3.36	2.80096	2.053	2.05312
3.38	2.79617	2.0554	2.0555
3.4	2.79142	2.05779	2.05786
3.42	2.78668	2.06019	2.0602
3.44	2.782	2.06253	2.06254
3.46	2.7774	2.06485	2.06483
3.48	2.77286	2.06713	2.06707
3.5	2.76836	2.0694	2.06931
3.52	2.76388	2.07162	2.07157
3.54	2.75943	2.07384	2.07381
3.56	2.75507	2.07604	2.07596
3.58	2.75072	2.07819	2.07816
3.6	2.74641	2.08032	2.08034
